Cust Number,Customer,Industry,Location
txq25582,Nitzsche Group,Consulting,"Newport, England"
wxy77365,"Hills, Effertz and Runte",Consulting,"Whitwell, England"
dfy29816,"Zemlak, Hoppe and Reilly",Consulting,"Denton, England"
kzx45321,"Quigley, Abernathy and Harvey",Insurance,"Linton, England"
lpb64797,Hodkiewicz and Sons,Legal Services,"Wirral, England"
yyk04544,Hegmann Inc,Consulting,"Belfast, Northern Ireland"
tuo68781,Fay-Marquardt,Financial,"Normanton, England"
kcb00365,"Fisher, Thiel and Koss",Consulting,"Dean, England"
bab05317,Rice-Jones,Insurance,"Walton, England"
zos34433,Greenfelder-Walter,Financial,"Church End, England"
