Invoice,Invoice Date,Customer,Contact,Product,Qty
1300,2024-03-14,txq25582,PP11054,22,4
1301,2024-03-19,lpb64797,PP76756,25,1
1302,2024-03-07,yyk04544,PP64089,32,4
1303,2024-03-08,lpb64797,PP49550,27,1
1304,2024-03-26,wxy77365,PP74892,41,1
1305,2024-03-25,wxy77365,PP11316,36,1
1306,2024-03-03,bab05317,PP67786,39,3
1307,2024-03-18,kzx45321,PP28089,37,1
1308,2024-03-09,kzx45321,PP28089,22,2
1309,2024-03-05,txq25582,PP43668,30,4
1310,2024-03-05,lpb64797,PP72178,24,2
1311,2024-03-01,dfy29816,PP77187,30,1
1312,2024-03-19,tuo68781,PP41252,27,2
1313,2024-03-21,lpb64797,PP76756,28,3
1314,2024-03-23,txq25582,PP17465,31,2
1315,2024-03-27,bab05317,PP67786,25,1
1316,2024-03-20,wxy77365,PP74892,24,2
1317,2024-03-20,kzx45321,PP28089,38,4
1318,2024-03-01,yyk04544,PP64089,31,4
1319,2024-03-26,dfy29816,PP41143,37,2
1320,2024-03-01,txq25582,PP11054,38,2
1321,2024-03-27,txq25582,PP43668,39,3
1322,2024-03-04,tuo68781,PP57004,41,3
1323,2024-03-04,kzx45321,PP86324,35,2
1324,2024-03-05,kcb00365,PP66441,38,4
1325,2024-03-30,tuo68781,PP57004,27,2
1326,2024-03-21,kzx45321,PP86324,35,3
1327,2024-03-13,kzx45321,PP15665,36,1
1328,2024-03-04,yyk04544,PP64089,27,1
1329,2024-03-26,lpb64797,PP76756,26,3
1330,2024-03-21,yyk04544,PP64089,25,3
1331,2024-03-01,dfy29816,PP77187,22,4
1332,2024-03-30,kzx45321,PP86324,22,4
1333,2024-03-06,kcb00365,PP03518,35,2
1334,2024-03-08,wxy77365,PP11316,35,1
1335,2024-03-29,lpb64797,PP76756,26,1
1336,2024-03-28,zos34433,PP20723,35,3
1337,2024-03-08,bab05317,PP67786,34,1
1338,2024-03-10,tuo68781,PP57004,27,3
1339,2024-03-10,zos34433,PP20723,41,1
1340,2024-03-24,lpb64797,PP49550,41,2
1341,2024-03-29,kcb00365,PP03518,31,2
1342,2024-03-14,zos34433,PP70342,34,3
1343,2024-03-10,bab05317,PP28176,38,4
1344,2024-03-29,dfy29816,PP77187,29,2
1345,2024-03-27,lpb64797,PP76756,27,1
1346,2024-03-03,kzx45321,PP86324,30,3
1347,2024-03-15,kcb00365,PP03518,27,4
1348,2024-03-10,zos34433,PP20723,33,3
1349,2024-03-13,zos34433,PP70342,42,1
1350,2024-03-15,dfy29816,PP71212,36,4
1351,2024-03-09,lpb64797,PP76756,41,4
1352,2024-03-15,kcb00365,PP03518,24,4
1353,2024-03-02,dfy29816,PP41143,42,2
1354,2024-03-19,dfy29816,PP41143,30,3
1355,2024-03-02,txq25582,PP43668,30,2
1356,2024-03-17,wxy77365,PP74892,37,1
1357,2024-03-15,kcb00365,PP66441,26,2
1358,2024-03-18,zos34433,PP20723,37,4
1359,2024-03-27,dfy29816,PP77187,28,2
1360,2024-03-12,tuo68781,PP57004,40,4
1361,2024-03-20,dfy29816,PP77187,28,1
1362,2024-03-01,dfy29816,PP77187,27,3
1363,2024-03-05,yyk04544,PP64089,38,3
1364,2024-03-06,wxy77365,PP30764,33,4
1365,2024-03-30,wxy77365,PP11316,35,3
1366,2024-03-29,dfy29816,PP41143,24,3
1367,2024-03-19,kcb00365,PP66441,36,1
1368,2024-03-16,zos34433,PP70342,29,4
1369,2024-03-10,txq25582,PP43668,22,3
1370,2024-03-21,zos34433,PP20723,26,1
1371,2024-03-03,yyk04544,PP09552,29,1
1372,2024-03-29,wxy77365,PP11316,39,1
1373,2024-03-17,lpb64797,PP76756,32,2
1374,2024-03-12,lpb64797,PP72178,42,3
1375,2024-03-28,lpb64797,PP72178,27,3
1376,2024-03-20,tuo68781,PP41252,37,2
1377,2024-03-27,dfy29816,PP41143,22,1
1378,2024-03-25,wxy77365,PP11316,37,2
1379,2024-03-11,kzx45321,PP28089,38,2
1380,2024-03-15,tuo68781,PP41252,29,4
1381,2024-03-07,tuo68781,PP41252,42,2
1382,2024-03-22,bab05317,PP28176,27,3
1383,2024-03-05,wxy77365,PP30764,22,1
1384,2024-03-13,wxy77365,PP30764,28,1
1385,2024-03-21,bab05317,PP28176,41,2
1386,2024-03-10,bab05317,PP28176,33,1
1387,2024-03-30,lpb64797,PP72178,28,2
1388,2024-03-16,zos34433,PP20723,23,1
1389,2024-03-20,yyk04544,PP64089,32,1
1390,2024-03-10,tuo68781,PP41252,30,1
1391,2024-03-24,zos34433,PP20723,40,1
1392,2024-03-20,yyk04544,PP64089,34,1
1393,2024-03-20,kzx45321,PP86324,24,4
1394,2024-03-07,zos34433,PP20723,31,2
1395,2024-03-10,zos34433,PP70342,23,3
1396,2024-03-16,lpb64797,PP76756,26,3
1397,2024-03-21,kzx45321,PP15665,41,1
1398,2024-03-16,bab05317,PP28176,24,2
1399,2024-03-03,lpb64797,PP72178,26,3
